specialty,sex,under_18,famsize,Mjob,Fjob,reason,socialcohabitation,traveltime,studytime,failures,schoolsup,selfpayfees,activities,catch-up,internet,romantic,famrel,freetime,goout,health,absences,G3
MI,F,GE18,GT3,Unemployed,Employee,course,guardian,2,2,0,yes,no,no,yes,no,no,4,3,4,3,6,6
MI,F,U18,GT3,Unemployed,Contractor,course,alone,1,2,0,no,no,no,yes,yes,no,5,3,3,3,4,6
IN,F,U18,LE3,Unemployed,Contractor,other,guardian,1,2,3,yes,yes,no,yes,yes,no,4,3,2,3,10,10
MI,F,U18,GT3,employee,Civil_Servant,home,guardian,1,3,0,no,yes,yes,yes,yes,yes,3,2,2,5,2,15
IN,F,U18,GT3,unemployed,Contractor,home,alone,1,2,0,no,yes,no,yes,no,no,4,3,2,5,4,10
IN,M,U18,LE3,civil_Servant,Contractor,reputation,guardian,1,2,0,no,yes,yes,yes,yes,no,5,4,2,5,10,15
MI,M,U18,LE3,unemployed,Contractor,home,guardian,1,2,0,no,no,no,yes,yes,no,4,4,4,3,0,11
IN,F,U18,GT3,unemployed,Employee,home,guardian,2,2,0,yes,no,no,yes,no,no,4,1,4,1,6,6
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,no,yes,no,yes,yes,no,4,2,2,1,0,19
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,2,0,no,yes,yes,yes,yes,no,5,5,1,5,0,15
IN,F,U18,GT3,employee,Employee,reputation,guardian,1,2,0,no,yes,no,yes,yes,no,3,3,3,2,0,9
MI,F,U18,GT3,civil_Servant,Contractor,reputation,alone,3,3,0,no,no,yes,yes,yes,no,5,2,2,4,4,12
IN,M,U18,LE3,employee,Civil_Servant,course,alone,1,1,0,no,yes,yes,yes,yes,no,4,3,3,5,2,14
IN,M,U18,GT3,employee,Contractor,course,guardian,2,2,0,no,yes,no,yes,yes,no,5,4,3,3,2,11
MI,M,U18,GT3,unemployed,Contractor,home,alone,1,3,0,no,no,no,yes,yes,yes,4,5,2,3,0,16
IN,F,U18,GT3,employee,Contractor,home,guardian,1,1,0,no,no,no,yes,yes,no,4,4,4,2,4,14
MI,F,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,1,3,0,no,yes,yes,yes,yes,no,3,2,3,2,6,14
IN,F,U18,GT3,unemployed,Contractor,reputation,guardian,3,2,0,yes,no,yes,yes,no,no,5,3,2,4,4,10
MI,M,U18,GT3,civil_Servant,Civil_Servant,course,guardian,1,1,3,no,no,yes,yes,yes,no,5,5,5,5,16,5
MI,M,U18,LE3,employee,Contractor,home,alone,1,1,0,no,yes,yes,yes,yes,no,3,1,3,5,4,10
MI,M,U18,GT3,employee,Contractor,reputation,guardian,1,2,0,no,no,no,yes,yes,no,4,4,1,1,0,15
IN,M,U18,GT3,employee,Employee,other,alone,1,1,0,no,yes,no,yes,yes,no,5,4,2,5,0,15
IN,M,U18,LE3,employee,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,no,4,5,1,5,2,16
IN,M,U18,LE3,unemployed,Contractor,reputation,guardian,2,2,0,no,no,yes,yes,yes,no,5,4,4,5,0,12
MI,F,U18,GT3,civil_Servant,Employee,course,guardian,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,5,2,8
MI,F,U18,GT3,civil_Servant,Civil_Servant,home,guardian,1,1,2,no,yes,no,yes,yes,no,1,2,2,5,14,8
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,1,0,no,yes,no,yes,yes,no,4,2,2,5,2,11
IN,M,U18,GT3,employee,Civil_Servant,other,guardian,1,1,0,no,yes,no,yes,yes,no,2,2,4,1,4,15
IN,M,U18,LE3,civil_Servant,Contractor,home,guardian,1,2,0,yes,no,yes,yes,yes,no,5,3,3,5,4,11
MI,M,U18,GT3,employee,Employee,home,guardian,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,16,11
MI,M,U18,GT3,employee,Civil_Servant,home,guardian,1,2,0,no,yes,no,yes,yes,no,5,4,2,5,0,12
IN,M,U18,GT3,civil_Servant,Civil_Servant,reputation,guardian,2,2,0,no,no,yes,yes,yes,no,4,3,1,5,0,17
MI,M,U18,GT3,employee,Unemployed,course,guardian,1,2,0,no,no,yes,yes,yes,yes,4,5,2,5,0,16
MI,M,U18,LE3,unemployed,Contractor,course,guardian,1,2,0,no,no,yes,yes,yes,no,5,3,2,2,0,12
IN,M,U18,GT3,unemployed,Contractor,home,guardian,1,1,0,no,yes,no,yes,yes,no,5,4,3,5,0,15
MI,F,U18,GT3,unemployed,Contractor,other,alone,2,1,0,no,no,yes,yes,no,no,3,5,1,5,0,6
MI,M,U18,LE3,employee,Civil_Servant,home,guardian,1,3,0,no,no,yes,yes,yes,no,5,4,3,4,2,18
MI,M,U18,GT3,unemployed,Employee,reputation,guardian,2,3,0,no,no,yes,yes,yes,yes,2,4,3,5,7,15
MI,F,U18,GT3,civil_Servant,Employee,course,guardian,1,3,0,yes,yes,yes,yes,yes,no,4,3,2,5,2,11
MI,F,U18,GT3,Unemployed,Contractor,reputation,guardian,1,1,0,yes,yes,yes,yes,no,no,4,3,1,2,8,13
MI,F,U18,LE3,unemployed,Contractor,home,guardian,2,2,1,no,no,yes,yes,yes,yes,3,3,3,3,25,11
IN,M,U18,LE3,employee,Contractor,home,alone,1,1,0,no,no,no,yes,yes,yes,5,4,3,5,8,12
MI,M,U18,GT3,civil_Servant,Employee,course,alone,1,2,0,no,no,yes,yes,yes,no,4,3,3,5,2,18
IN,M,U18,GT3,civil_Servant,Civil_Servant,course,alone,1,1,0,yes,no,no,yes,yes,no,5,4,1,1,0,11
IN,F,U18,LE3,unemployed,Unemployed,course,alone,2,2,1,yes,no,yes,yes,yes,no,4,3,3,5,14,9
IN,F,U18,LE3,unemployed,Contractor,course,guardian,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,5,8,6
MI,F,U18,LE3,unemployed,Civil_Servant,home,guardian,1,2,0,no,no,no,yes,yes,no,2,3,5,3,12,11
MI,M,U18,GT3,employee,Civil_Servant,reputation,guardian,1,4,0,no,no,yes,yes,yes,no,4,2,2,2,4,20
IN,M,U18,GT3,employee,Contractor,home,guardian,1,2,0,no,yes,no,yes,no,no,4,3,3,5,2,14
MI,F,U18,GT3,civil_Servant,Employee,other,alone,1,2,1,yes,no,yes,yes,yes,no,4,4,4,3,2,7
IN,F,U18,LE3,civil_Servant,Civil_Servant,course,guardian,3,2,0,no,yes,no,yes,yes,no,4,3,3,4,2,13
IN,F,U18,LE3,employee,Contractor,other,guardian,1,2,0,no,yes,no,yes,yes,no,4,3,3,5,2,13
IN,M,U18,LE3,employee,Employee,other,alone,2,1,1,no,no,no,yes,no,no,5,5,5,5,6,10
